NAME	FECHA	LAYER	TIPO_FORES	SUP_m2	ALT_DOM	AB	VOL_m3/ha	C11	C12r	C12i	C13r	C13i	C22	C23r	C23i	C33	ang	C11_std	C12r_std	C12i_std	C13r_std	C13i_std	C22_std	C23r_std	C23i_std	C33_std	ang_std
CENTRO13	2018/11/26	parcela 13_14	ÑIRE	200	5.3	8	26	0.160690367221832	-0.030486736446619	0.000360960140824318	0.0771135985851288	0.0143315512686968	0.0595133751630783	-0.0262137912213802	-0.000564396497793496	0.164149403572083	23.7146244049072	0.017023891210556	0.0027284815441817	0.0117990337312222	0.0219840258359909	0.00101681973319501	0.00347413052804768	0.00113327871076763	0.00462857028469443	0.0543829314410687	0.609490633010864
CENTRO14	2018/11/26	parcela 13_14	ÑIRE	200	4.2	11	30	0.0534323789179325	-0.00336263887584209	0.0122462213039398	0.0000588695220358204	-0.00174572563264519	0.0547873079776764	0.00191341096069664	0.00265611242502928	0.0533807575702667	23.5640869140625	0.0239099655300379	0.00585922924801707	0.00290602073073387	0.0175836775451899	0.00334356632083654	0.0144113460555673	0.00608840817585588	0.0036182445473969	0.0125547908246517	0.540004432201386
CENTRO16	2018/11/27	parcela 15_16	ÑIRE	200	4	9	22	0.0782075151801109	0.00493796123191714	-0.0018274188041687	0.0343804135918617	-0.0164618957787752	0.115403108298779	-0.0125449849292636	0.0223021879792213	0.104417026042938	28.7082080841064	0.0171679146587849	0.0127981770783663	0.0189433041960001	0.0172140672802925	0.00969694275408983	0.0184311028569937	0.0062175658531487	0.0101614650338888	0.0102134421467781	0.927211701869965
CENTRO15	2018/11/27	parcela 15_16	ÑIRE	200	4.6	7	21	0.208325624465942	0.00921244081109762	0.0283494386821985	-0.0404537059366703	0.0180205013602972	0.0894150957465172	-0.0181543510407209	0.00345651153475046	0.16755910217762	21.8529491424561	0.0438870452344418	0.00532466173171997	0.00981712900102139	0.0201545115560293	0.00491824885830283	0.00749507732689381	0.00328931794501841	0.0031338210683316	0.0168906059116125	1.82695186138153
CENTRO17	2019/01/21	parcela 17_18	ÑIRE	200	4	20	58	0.0834822580218315	0.00927297025918961	-0.0115603366866708	0.0316887348890305	0.00146517704706639	0.0700941234827042	-0.016442347317934	0.00926935859024525	0.0533847585320473	26.4792671203613	0.00144235999323428	0.00805805623531342	0.00153694930486381	0.00237458106130362	0.00479863025248051	0.00368137960322201	0.00724580604583025	0.00031252414919436	0.00130448711570352	0.044876616448164
CENTRO31	2019/03/20	parcela 31_32	ÑIRE	200	6.3	24	92	0.160394936800003	0.00333956209942699	0.0000909443479031324	0.0919824913144112	0.00881823804229498	0.0265024937689304	0.0129138585180044	-0.000836014281958342	0.109390564262867	29.3868675231934	0.0218002013862133	0.00357050006277859	0.00729539105668664	0.0202076230198145	0.0054125995375216	0.00593668548390269	0.0035678765270859	0.00709723308682442	0.00558354659006	0.913879215717316
CENTRO39	2019/04/08	Parcela 39_40	ÑIRE	200	2.9	9	20	0.126153007149696	0.0059733260422945	0.0178781058639288	0.0922040715813637	0.00668681273236871	0.0410212837159634	-0.00850763916969299	-0.0250215474516153	0.132121250033379	36.7222480773926	0.0185698848217726	0.000721114629413933	0.00861088652163744	0.0341291017830372	0.00590726220980287	0.00839878339320421	0.0051080109551549	0.0082092797383666	0.042563870549202	0.967091739177704
CENTRO40	2019/04/08	Parcela 39_40	ÑIRE	200	2.4	4	8	0.0903947725892067	-0.00562356039881706	-0.00285918242298067	0.0398714318871498	0.0136466603726149	0.0498849451541901	-0.0135350544005632	-0.00381985725834966	0.0724799260497093	39.0764694213867	0.00301378034055233	0.0111703472211957	0.00528205605223775	0.00503246625885367	0.00148697814438492	0.00279130437411368	0.0063141998834908	0.00427854713052511	0.00613417522981763	0.343794256448746
CENTRO12	2018/07/20	parcela 11_12	ÑIRE	200	7.2	20	90	0.0341127701103687	0.000692183384671807	0.00455891992896795	-0.00539204943925142	-0.00311188050545752	0.0300422236323357	-0.0010784495389089	0.00691590551286936	0.0218936167657375	16.4317188262939	0.0026464865077287	0.00247805402614176	0.00334178260527551	0.00828623026609421	0.0035253819078207	0.00926248542964459	0.00206877081654966	0.00318692624568939	0.00571537064388394	0.399432003498077
CENTRO11	2018/11/20	parcela 11_12	ÑIRE	200	8.3	19	89	0.178081765770912	-0.0223972033709288	-0.0382246412336826	0.0543749667704105	0.00372015382163227	0.109782189130783	0.00766933662816882	0.00245265825651586	0.109275363385677	19.2352390289307	0.00174393644556403	0.00468155043199658	0.00533891702070832	0.0089903362095356	0.00936260260641575	0.00662137242034078	0.00676490971818566	0.00656966120004654	0.0116061801090837	0.288412392139435
