SAOCOMC3_DESCENDING_TC																				SALIDAS DEL DEM				SENTINEL-2	SENTINEL_ASCENDING_TC						SENTINEL_DESCENDING_TC										
NAME	FECHA	LAYER	TIPO_FORES	SUP_m2	Alt Dom	AB	Vol M3/ha ñire	Vol m3/ha total		C11	C12r	C12i	C13r	C13i	C22	C23r	C23i	C33	ang	C11_std	C12r_std	C12i_std	C13r_std	C13i_std	C22_std	C23r_std	C23i_std	C33_std	ang_std	Elevation	LIA	PLIA	IAE	NDVI	VV	VH	ang	VV_std	VH_std	ang_std	VV	VV (gamma0)	VV (beta0)	VH	VH (gamma0)	VH (beta0)	LIA	PLIA	IAE	dif_ang	dif_LIA
CENTRO13	2018/11/26	parcela 13_14	ÑIRE	200	5.3	8	26	26	TESTIGO	0.160690367221832	-0.030486736446619	0.000360960140824318	0.0771135985851288	0.0143315512686968	0.0595133751630783	-0.0262137912213802	-0.000564396497793496	0.164149403572083	23.7146244049072	0.017023891210556	0.0027284815441817	0.0117990337312222	0.0219840258359909	0.00101681973319501	0.00347413052804768	0.00113327871076763	0.00462857028469443	0.0543829314410687	0.609490633010864	802.6552734375	23.7146244049072	23.6947822570801	27.5070896148682	0.718268811702728	0.0804144516587257	0.0230679698288441	41.6718292236328	0.000400921882828698	0.000836711085867137	0.961592793464661	0.156117126345634	0.202377438545227	0.245339274406433	0.0278436001390219	0.036094069480896	0.0437566079199314	35.1851806640625	35.1665496826172	39.5782775878906	0.150537490844702	0.9308052062988
CENTRO14	2018/11/26	parcela 13_14	ÑIRE	200	4.2	11	30	30	RALEO	0.0534323789179325	-0.00336263887584209	0.0122462213039398	0.0000588695220358204	-0.00174572563264519	0.0547873079776764	0.00191341096069664	0.00265611242502928	0.0533807575702667	23.5640869140625	0.0239099655300379	0.00585922924801707	0.00290602073073387	0.0175836775451899	0.00334356632083654	0.0144113460555673	0.00608840817585588	0.0036182445473969	0.0125547908246517	0.540004432201386	802.791076660156	23.5640869140625	22.7639770507813	27.50803565979	0.650563895702362	0.0894857719540596	0.0354967080056667	38.5064086914063	0.00795283075422049	0.00342485681176186	1.16701138019562	0.139322951436043	0.180608093738556	0.218944936990738	0.0254498906433582	0.0329914279282093	0.0399942174553871	35.074333190918	34.6035537719727	39.5789108276367	-5.1441211700439	-5.6227970123291
CENTRO16	2018/11/27	parcela 15_16	ÑIRE	200	4	9	22	22	RALEO	0.0782075151801109	0.00493796123191714	-0.0018274188041687	0.0343804135918617	-0.0164618957787752	0.115403108298779	-0.0125449849292636	0.0223021879792213	0.104417026042938	28.7082080841064	0.0171679146587849	0.0127981770783663	0.0189433041960001	0.0172140672802925	0.00969694275408983	0.0184311028569937	0.0062175658531487	0.0101614650338888	0.0102134421467781	0.927211701869965	800.207336425781	28.7082080841064	28.3867740631104	27.5071849822998	0.600216150283814	0.131248131394386	0.035885214805603	33.5110206604004	0.00545956008136272	0.00512492563575506	1.61572754383087	0.0966694355010986	0.125313594937325	0.151918113231659	0.0223672725260258	0.0289949104189873	0.0351506844162941	40.7747802734375	40.4508781433106	39.5780487060547	6.8552589416503	6.5615425109864
CENTRO15	2018/11/27	parcela 15_16	ÑIRE	200	4.6	7	21	21	TESTIGO	0.208325624465942	0.00921244081109762	0.0283494386821985	-0.0404537059366703	0.0180205013602972	0.0894150957465172	-0.0181543510407209	0.00345651153475046	0.16755910217762	21.8529491424561	0.0438870452344418	0.00532466173171997	0.00981712900102139	0.0201545115560293	0.00491824885830283	0.00749507732689381	0.00328931794501841	0.0031338210683316	0.0168906059116125	1.82695186138153	799.771789550781	21.8529491424561	21.825231552124	27.5052280426025	0.682540675004323	0.115380093455315	0.0243472717702389	41.6725921630859	0.00503391958773136	0.00210605165921152	2.6130588054657	0.105218909680843	0.136393785476685	0.165358364582062	0.0227715764194727	0.0295183956623077	0.0357871577143669	35.2808609008789	35.2402420043945	39.5767097473145	-4.6263179779052	-2.4238872528076
CENTRO17	2019/01/21	parcela 17_18	ÑIRE	200	4	20	58	58	RALEO	0.0834822580218315	0.00927297025918961	-0.0115603366866708	0.0316887348890305	0.00146517704706639	0.0700941234827042	-0.016442347317934	0.00926935859024525	0.0533847585320473	26.4792671203613	0.00144235999323428	0.00805805623531342	0.00153694930486381	0.00237458106130362	0.00479863025248051	0.00368137960322201	0.00724580604583025	0.00031252414919436	0.00130448711570352	0.044876616448164	804.102416992188	26.4792671203613	24.2491188049316	27.5110397338867	0.61059033870697	0.0863379240036011	0.0293327793478966	35.3308868408203	0.00468420051038265	0.00389510649256408	0.120120540261269	0.109780743718147	0.142316401004791	0.1725113093853	0.0272945985198021	0.0353839099407196	0.0428911373019218	37.1227340698242	35.7730102539063	39.5812759399414	-2.9076004028321	-4.9476413726807
CENTRO31	2019/03/20	parcela 31_32	ÑIRE	200	6.3	24	92	116		0.160394936800003	0.00333956209942699	0.0000909443479031324	0.0919824913144112	0.00881823804229498	0.0265024937689304	0.0129138585180044	-0.000836014281958342	0.109390564262867	29.3868675231934	0.0218002013862133	0.00357050006277859	0.00729539105668664	0.0202076230198145	0.0054125995375216	0.00593668548390269	0.0035678765270859	0.00709723308682442	0.00558354659006	0.913879215717316	791.156982421875	29.3868675231934	29.1967601776123	27.5638961791992	0.679773598909378	0.132356837391853	0.0354881510138512	33.8687744140625	0.00459305616095662	0.00170300784520805	0.797609448432922	0.102300241589546	0.132686778903008	0.160635739564896	0.0196821298450232	0.0255283415317535	0.0309056751430035	41.4107666015625	41.2563972473145	39.6167030334473	-7.3353805541992	-7.1972370147705
CENTRO39	2019/04/08	Parcela 39_40	ÑIRE	200	2.9	9	20	20		0.126153007149696	0.0059733260422945	0.0178781058639288	0.0922040715813637	0.00668681273236871	0.0410212837159634	-0.00850763916969299	-0.0250215474516153	0.132121250033379	36.7222480773926	0.0185698848217726	0.000721114629413933	0.00861088652163744	0.0341291017830372	0.00590726220980287	0.00839878339320421	0.0051080109551549	0.0082092797383666	0.042563870549202	0.967091739177704	748.696044921875	36.7222480773926	36.3939971923828	27.5326385498047	0.669023454189301	0.153065651655197	0.0304878111928701	26.2649536132813	0.00833102036267519	0.000621829356532544	1.63682043552399	0.0781968757510185	0.10138476639986	0.122857213020325	0.0196281503885984	0.025448402389884	0.0308385491371155	48.886043548584	48.6700859069824	39.5895690917969	-2.3542213439941	-2.2235717773438
CENTRO40	2019/04/08	Parcela 39_40	ÑIRE	200	2.4	4	8	8		0.0903947725892067	-0.00562356039881706	-0.00285918242298067	0.0398714318871498	0.0136466603726149	0.0498849451541901	-0.0135350544005632	-0.00381985725834966	0.0724799260497093	39.0764694213867	0.00301378034055233	0.0111703472211957	0.00528205605223775	0.00503246625885367	0.00148697814438492	0.00279130437411368	0.0063141998834908	0.00427854713052511	0.00613417522981763	0.343794256448746	752.869506835938	39.0764694213867	38.6175689697266	27.5304775238037	0.687923610210419	0.133099257946014	0.0319676622748375	24.516529083252	0.00681206863373518	0.00252819852903485	0.62200790643692	0.0834250003099442	0.108160555362701	0.131075963377953	0.0264178514480591	0.034250732511282	0.0415073372423649	50.6974639892578	50.3681488037109	39.5879936218262	22.6447505950928	22.2794437408448
CENTRO12	2018/07/20	parcela 11_12	ÑIRE	200	7.2	20	86	90	TESTIGO	0.0341127701103687	0.000692183384671807	0.00455891992896795	-0.00539204943925142	-0.00311188050545752	0.0300422236323357	-0.0010784495389089	0.00691590551286936	0.0218936167657375	16.4317188262939	0.0026464865077287	0.00247805402614176	0.00334178260527551	0.00828623026609421	0.0035253819078207	0.00926248542964459	0.00206877081654966	0.00318692624568939	0.00571537064388394	0.399432003498077	685.039306640625	16.4317188262939	16.3381252288818	27.4289836883545	0.663844585418701	0.0746610015630722	0.0256992075592279	46.1084403991699	0.00676805153489113	0.00026459529181011	0.548138320446014	0.113743744790554	0.147306457161903	0.179002299904823	0.030675882473588	0.0397275276482105	0.0482756309211254	28.6106777191162	28.5752639770508	39.5113334655762	-2.8035202026368	-2.7230892181397
CENTRO11	2018/11/20	parcela 11_12	ÑIRE	200	8.3	19	86	89	RALEO	0.178081765770912	-0.0223972033709288	-0.0382246412336826	0.0543749667704105	0.00372015382163227	0.109782189130783	0.00766933662816882	0.00245265825651586	0.109275363385677	19.2352390289307	0.00174393644556403	0.00468155043199658	0.00533891702070832	0.0089903362095356	0.00936260260641575	0.00662137242034078	0.00676490971818566	0.00656966120004654	0.0116061801090837	0.288412392139435	687.421447753906	19.2352390289307	19.0612144470215	27.4301204681397	0.719697594642639	0.0827568098902702	0.0284221172332764	43.036060333252	0.000878825027029961	0.000153036526171491	0.624917030334473	0.115902982652187	0.150104731321335	0.182397022843361	0.029666967689991	0.0384213998913765	0.0466869845986366	31.5898475646973	31.5498218536377	39.5124282836914	0.411542892456101	0.802169799804698
