NAME,FECHA,LAYER,TIPO_FORES,SUP_m2,Alt Dom,AB,Vol m3/ha ñire,Vol m3/ha total,manejo,C11,C12r,C12i,C13r,C13i,C22,C23r,C23i,C33,ang,C11_std,C12r_std,C12i_std,C13r_std,C13i_std,C22_std,C23r_std,C23i_std,C33_std,ang_std,LIA,PLIA,IAE,Nr Pix,NDVI,VV,VH,ang,VV_std,VH_std,ang_std,VV,VV (gamma0),VV (beta0),VH,VH (gamma0),VH (beta0),VV_std,VH_std,LIA,PLIA,IAE
CENTRO1,2018/10/05,parcela 1_2,ÑIRE,200,8.4,32.4,102.1,111.6,TESTIGO,0.2148,-0.0328,-0.0246,0.0523,-0.0085,0.0753,-0.0146,0.0179,0.0961,15.69,0.0085,0.0070,0.0028,0.0077,0.0058,0.0087,0.0054,0.0053,0.0087,0.5058,15.69,15.52,27.45,3,0.75,0.113,0.030,38.81,0.011,0.001,0.29,0.1092,0.1415,0.1718,0.0317,0.0410,0.0498,0.0038,0.0016,35.83,35.73,39.53
CENTRO2,2018/10/05,parcela 1_2,ÑIRE,200,9.8,44,225,234,RALEO,0.1684,-0.0308,-0.0177,0.0262,-0.0101,0.0796,-0.0125,0.0114,0.1054,24.80,0.0044,0.0054,0.0058,0.0115,0.0047,0.0041,0.0031,0.0086,0.0166,1.9798,24.80,24.45,27.45,4,0.72,0.115,0.038,38.46,0.002,0.003,0.32,0.1224,0.1586,0.1926,0.0275,0.0356,0.0432,0.0031,0.0018,36.01,35.90,39.53
CENTRO21,2018/12/11,parcela 21_22,ÑIRE,200,10,16,93,93,TESTIGO,0.1187,-0.0195,0.0109,0.0414,-0.0016,0.0912,-0.0213,-0.0045,0.0780,23.51,0.0075,0.0057,0.0084,0.0133,0.0037,0.0107,0.0055,0.0013,0.0240,0.1523,23.51,23.12,27.40,2,0.73,0.088,0.027,39.11,0.005,0.001,0.18,0.1010,0.1307,0.1590,0.0241,0.0312,0.0380,0.0011,0.0004,36.34,36.30,39.47
CENTRO22,2018/12/11,parcela 21_22,ÑIRE,200,9.8,26,141,141,RALEO,0.1216,0.0215,0.0118,0.0218,0.0000,0.0887,0.0161,-0.0025,0.1020,21.94,0.0051,0.0093,0.0099,0.0077,0.0081,0.0021,0.0076,0.0059,0.0240,1.2976,21.94,21.84,27.40,4,0.69,0.095,0.022,40.50,0.001,0.001,0.14,0.0993,0.1285,0.1563,0.0272,0.0353,0.0429,0.0000,0.0000,37.77,37.67,39.47
CENTRO24,2019/10/19,parcela 23_24,ÑIRE,200,10.2,31,177.5,235.7,RALEO,0.0763,-0.0027,-0.0085,0.0127,0.0124,0.0446,0.0146,-0.0115,0.1185,26.37,0.0046,0.0048,0.0057,0.0082,0.0065,0.0083,0.0095,0.0032,0.0133,0.4072,26.37,24.89,27.39,4,0.74,0.088,0.023,40.70,0.005,0.000,0.57,0.1104,0.1429,0.1738,0.0236,0.0305,0.0371,0.0000,0.0000,33.26,33.10,39.47
CENTRO23,2019/10/19,parcela 23_24,ÑIRE,200,8.2,13,67,67,TESTIGO,0.1346,0.0313,0.0125,0.0279,-0.0002,0.0598,0.0099,-0.0179,0.0803,22.74,0.0001,0.0090,0.0046,0.0079,0.0044,0.0079,0.0075,0.0044,0.0027,0.1970,22.74,20.04,27.39,2,0.72,0.097,0.030,36.86,0.003,0.002,0.54,0.0868,0.1123,0.1367,0.0277,0.0358,0.0436,0.0044,0.0006,36.87,36.48,39.47
CENTRO25,2019/02/13,parcela 25_26,ÑIRE,200,8.7,40,201,209,,0.0918,0.0212,-0.0001,0.0480,-0.0063,0.0599,0.0359,-0.0127,0.0865,29.28,0.0126,0.0035,0.0012,0.0013,0.0007,0.0029,0.0018,0.0006,0.0045,0.1426,29.28,28.57,27.55,2,0.69,0.116,0.042,31.22,0.004,0.002,1.67,0.0788,0.1022,0.1238,0.0238,0.0309,0.0374,0.0074,0.0012,46.64,46.61,39.60
CENTRO26,2019/02/13,parcela 25_26,ÑIRE,200,10.7,33,206,599,,0.1558,-0.0119,-0.0120,0.0890,-0.0263,0.0908,0.0218,0.0129,0.1495,29.31,0.0346,0.0056,0.0204,0.0283,0.0295,0.0237,0.0146,0.0188,0.0313,1.1666,29.31,27.96,27.55,4,0.68,0.103,0.034,35.74,0.001,0.001,0.97,0.1004,0.1303,0.1578,0.0282,0.0365,0.0442,0.0002,0.0002,42.06,42.03,39.60
CENTRO28,2019/02/22,parcela 27_28,ÑIRE,200,10.2,45,275,309,,0.1271,-0.0100,0.0003,0.0499,0.0078,0.0592,0.0017,-0.0084,0.1096,26.93,0.0224,0.0042,0.0076,0.0051,0.0083,0.0062,0.0076,0.0029,0.0075,0.5992,26.93,24.65,27.55,3,0.67,0.117,0.030,35.46,0.002,0.002,1.37,0.1175,0.1524,0.1847,0.0272,0.0353,0.0428,0.0000,0.0000,38.37,37.97,39.60
CENTRO27,2019/02/22,parcela 27_28,ÑIRE,200,8.5,34,181,199,,0.1397,-0.0085,-0.0164,0.0514,0.0064,0.0649,-0.0099,0.0343,0.1340,23.46,0.0132,0.0112,0.0025,0.0122,0.0074,0.0150,0.0064,0.0041,0.0158,1.5371,23.46,20.67,27.55,3,0.67,0.133,0.036,29.82,0.007,0.001,0.71,0.0962,0.1247,0.1511,0.0267,0.0347,0.0420,0.0057,0.0016,42.64,41.10,39.60
